flash,ram,text,code,rodata,data,bss,dec,hex,filename
2500,4,2500,1464,1036,0,4,2504,`9c8,armino/cmsis/libcmsis.a
55810,4718,55562,50508,5054,248,4470,60280,`eb78,armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
5777,468,5769,4404,1365,8,460,6237,`185d,armino/bk_wifi_driver/libbk_wifi_driver.a
5743,100,5743,3610,2133,0,100,5843,`16d3,armino/bk_wifi/libbk_wifi.a
3468,0,3468,3468,0,0,0,3468,`d8c,/opt/gcc-arm-none-eabi-10.3-2021.10/bin/../lib/gcc/arm-none-eabi/10.3.1/thumb/v8-m.main+fp/hard/libgcc.a
21887,1432,20455,19520,935,1432,0,21887,`557f,/opt/gcc-arm-none-eabi-10.3-2021.10/bin/../lib/gcc/arm-none-eabi/10.3.1/../../../../arm-none-eabi/lib/thumb/v8-m.main+fp/hard/libc.a
3983,364,3983,2844,1139,0,364,4347,`10fb,armino/cm33/libcm33.a
81211,6340,80467,66876,13591,744,5596,86807,`15317,armino/driver/libdriver.a
1346,108,1345,1264,81,1,107,1453,`5ad,armino/bk_system/libbk_system.a
473,4,473,336,137,0,4,477,`1dd,armino/bk_init/libbk_init.a
19824,3514,19515,13124,6391,309,3205,23029,`59f5,armino/bk_cli/libbk_cli.a
3599,90,3514,3236,278,85,5,3604,`e14,armino/bk7258_ap/libbk7258_ap.a
14403,232,14339,12486,1853,64,168,14571,`38eb,armino/common/libcommon.a
251,32,251,246,5,0,32,283,`11b,armino/bk_startup/libbk_startup.a
2436,17,2436,1958,478,0,17,2453,`995,armino/bk_event/libbk_event.a
3585,73,3584,3080,504,1,72,3657,`e49,armino/bk_aud_param_ctrl/libbk_aud_param_ctrl.a
4043,24,4043,3238,805,0,24,4067,`fe3,armino/aec_v3_algorithm/libaec_v3_algorithm.a
5483,32,5483,3936,1547,0,32,5515,`158b,armino/onboard_speaker_stream/libonboard_speaker_stream.a
3212,48,3212,2030,1182,0,48,3260,`cbc,armino/onboard_mic_stream/libonboard_mic_stream.a
24785,48,24737,14950,9787,48,0,24785,`60d1,armino/bk_peripheral/libbk_peripheral.a
1780,794,1018,1018,0,762,32,1812,`714,armino/bk_pm/libbk_pm.a
12069,88,12069,7092,4977,0,88,12157,`2f7d,armino/bk_voice_service/libbk_voice_service.a
46078,4533,46077,26198,19879,1,4532,50610,`c5b2,armino/ap/libap.a
33076,0,33076,17794,15282,0,0,33076,`8134,/home/liyy/work/bk7258/bk_avdk_smp_v3.1.9/ap/components/bk_libs/bk7258_ap/libs/libaec_v3.a
1635,0,1635,1012,623,0,0,1635,`663,armino/bk_camera/libbk_camera.a
9122,0,9122,5172,3950,0,0,9122,`23a2,armino/bk_video_recorder/libbk_video_recorder.a
1446,168,1302,976,326,144,24,1470,`5be,armino/media_service/libmedia_service.a
5101,433,4705,3484,1221,396,37,5138,`1412,armino/bk_bluetooth/libbk_bluetooth.a
5315,13,5315,4630,685,0,13,5328,`14d0,armino/bk_rtos/libbk_rtos.a
4546,0,4546,3114,1432,0,0,4546,`11c2,armino/bk_display/libbk_display.a
18155,998,18150,16368,1782,5,993,19148,`4acc,armino/os_source/libos_source.a
530,0,530,396,134,0,0,530,`212,armino/multimedia/libmultimedia.a
1340,32,1340,1190,150,0,32,1372,`55c,armino/media_utils/libmedia_utils.a
4655,648,4655,2362,2293,0,648,5303,`14b7,armino/coredump/libcoredump.a
6825,1088,6505,5350,1155,320,768,7593,`1da9,armino/bk_vfs/libbk_vfs.a
22929,5371,22921,19442,3479,8,5363,28292,`6e84,armino/bk_usb/libbk_usb.a
284,0,284,28,256,0,0,284,`11c,armino/avdk_utils/libavdk_utils.a
919,1,919,696,223,0,1,920,`398,armino/bk_netif/libbk_netif.a
2694,865,2682,2614,68,12,853,3547,`ddb,armino/psa_mbedtls/libpsa_mbedtls.a
1768,110,1768,1586,182,0,110,1878,`756,armino/app/libapp.a
4,0,4,4,0,0,0,4,`4,armino/http/libhttp.a
8276,269,8271,5610,2661,5,264,8540,`215c,armino/easy_flash/libeasy_flash.a
19838,8,19838,16790,3048,0,8,19846,`4d86,armino/littlefs/liblittlefs.a
19706,167,19706,18200,1506,0,167,19873,`4da1,armino/fatfs/libfatfs.a
104848,18723,104838,91416,13422,10,18713,123561,`1e2a9,/home/liyy/work/bk7258/bk_avdk_smp_v3.1.9/ap/components/bk_libs/bk7258_ap/libs/libbluetooth_host_ble_ap.a
32,4,32,32,0,0,4,36,`24,/home/liyy/work/bk7258/bk_avdk_smp_v3.1.9/ap/components/bk_libs/bk7258_ap/libs/libaudio_osi.a
