flash,ram,text,code,rodata,data,bss,dec,hex,filename,filename
1050,0,1050,390,660,0,0,1050,`41a,startup_bk7236.c.obj (ex armino/cmsis/libcmsis.a),armino/cmsis/libcmsis.a
272,0,272,272,0,0,0,272,`110,system_bk7236xx.c.obj (ex armino/cmsis/libcmsis.a),armino/cmsis/libcmsis.a
1322,0,1322,662,660,0,0,1322,`52a,armino/cmsis/libcmsis.a,armino/cmsis/libcmsis.a
2127,364,2123,1428,695,4,360,2487,`9b7,cif_main.c.obj (ex armino/controller_if/libcontroller_if.a),armino/controller_if/libcontroller_if.a
423,64,423,288,135,0,64,487,`1e7,cif_ipc.c.obj (ex armino/controller_if/libcontroller_if.a),armino/controller_if/libcontroller_if.a
936,4964,932,784,148,4,4960,5896,`1708,cif_mem_mgmt.c.obj (ex armino/controller_if/libcontroller_if.a),armino/controller_if/libcontroller_if.a
4332,260,4332,3142,1190,0,260,4592,`11f0,cif_cntrl.c.obj (ex armino/controller_if/libcontroller_if.a),armino/controller_if/libcontroller_if.a
782,0,782,716,66,0,0,782,`30e,cif_wifi_dp.c.obj (ex armino/controller_if/libcontroller_if.a),armino/controller_if/libcontroller_if.a
226,0,226,104,122,0,0,226,`e2,cif_ps.c.obj (ex armino/controller_if/libcontroller_if.a),armino/controller_if/libcontroller_if.a
1381,0,1381,1308,73,0,0,1381,`565,cif_wifi_api.c.obj (ex armino/controller_if/libcontroller_if.a),armino/controller_if/libcontroller_if.a
10207,5652,10199,7770,2429,8,5644,15851,`3deb,armino/controller_if/libcontroller_if.a,armino/controller_if/libcontroller_if.a
3133,1176,1961,1838,123,1172,4,3137,`c41,bk_wifi_adapter.c.obj (ex armino/bk_wifi/libbk_wifi.a),armino/bk_wifi/libbk_wifi.a
84,0,84,84,0,0,0,84,`54,net_param.c.obj (ex armino/bk_wifi/libbk_wifi.a),armino/bk_wifi/libbk_wifi.a
128,0,128,72,56,0,0,128,`80,phy.c.obj (ex armino/bk_wifi/libbk_wifi.a),armino/bk_wifi/libbk_wifi.a
2598,1387,1499,1232,267,1099,288,2886,`b46,rw_ieee80211.c.obj (ex armino/bk_wifi/libbk_wifi.a),armino/bk_wifi/libbk_wifi.a
2761,281,2757,2542,215,4,277,3038,`bde,rw_msg_rx.c.obj (ex armino/bk_wifi/libbk_wifi.a),armino/bk_wifi/libbk_wifi.a
4167,105,4167,4052,115,0,105,4272,`10b0,rw_msg_tx.c.obj (ex armino/bk_wifi/libbk_wifi.a),armino/bk_wifi/libbk_wifi.a
2499,29,2499,1926,573,0,29,2528,`9e0,rw_task.c.obj (ex armino/bk_wifi/libbk_wifi.a),armino/bk_wifi/libbk_wifi.a
2656,108,2548,2172,376,108,0,2656,`a60,rwnx_params.c.obj (ex armino/bk_wifi/libbk_wifi.a),armino/bk_wifi/libbk_wifi.a
1481,0,1481,1380,101,0,0,1481,`5c9,rwnx_rx.c.obj (ex armino/bk_wifi/libbk_wifi.a),armino/bk_wifi/libbk_wifi.a
308,40,308,262,46,0,40,348,`15c,rwnx_td.c.obj (ex armino/bk_wifi/libbk_wifi.a),armino/bk_wifi/libbk_wifi.a
2484,0,2484,2094,390,0,0,2484,`9b4,rwnx_tx.c.obj (ex armino/bk_wifi/libbk_wifi.a),armino/bk_wifi/libbk_wifi.a
3002,0,3002,2786,216,0,0,3002,`bba,rwnx_txq.c.obj (ex armino/bk_wifi/libbk_wifi.a),armino/bk_wifi/libbk_wifi.a
224,0,224,224,0,0,0,224,`e0,rwnx_utils.c.obj (ex armino/bk_wifi/libbk_wifi.a),armino/bk_wifi/libbk_wifi.a
394,4,394,352,42,0,4,398,`18e,skbuff.c.obj (ex armino/bk_wifi/libbk_wifi.a),armino/bk_wifi/libbk_wifi.a
2210,0,2210,1730,480,0,0,2210,`8a2,wifi_api.c.obj (ex armino/bk_wifi/libbk_wifi.a),armino/bk_wifi/libbk_wifi.a
310,32,290,252,38,20,12,322,`142,wifi_config.c.obj (ex armino/bk_wifi/libbk_wifi.a),armino/bk_wifi/libbk_wifi.a
504,0,504,434,70,0,0,504,`1f8,wifi_netif.c.obj (ex armino/bk_wifi/libbk_wifi.a),armino/bk_wifi/libbk_wifi.a
11961,276,11950,10134,1816,11,265,12226,`2fc2,wifi_v2.c.obj (ex armino/bk_wifi/libbk_wifi.a),armino/bk_wifi/libbk_wifi.a
6875,0,6875,5742,1133,0,0,6875,`1adb,wifi_wpa_cmd.c.obj (ex armino/bk_wifi/libbk_wifi.a),armino/bk_wifi/libbk_wifi.a
8622,188,8622,4314,4308,0,188,8810,`226a,wifi_at.c.obj (ex armino/bk_wifi/libbk_wifi.a),armino/bk_wifi/libbk_wifi.a
462,12,454,428,26,8,4,466,`1d2,bk_workqueue.c.obj (ex armino/bk_wifi/libbk_wifi.a),armino/bk_wifi/libbk_wifi.a
4350,4,4350,3536,814,0,4,4354,`1102,hostapd_intf.c.obj (ex armino/bk_wifi/libbk_wifi.a),armino/bk_wifi/libbk_wifi.a
228,13,224,224,0,4,9,237,`ed,lsig_monitor.c.obj (ex armino/bk_wifi/libbk_wifi.a),armino/bk_wifi/libbk_wifi.a
50,0,50,50,0,0,0,50,`32,sa_ap.c.obj (ex armino/bk_wifi/libbk_wifi.a),armino/bk_wifi/libbk_wifi.a
430,0,430,336,94,0,0,430,`1ae,sa_station.c.obj (ex armino/bk_wifi/libbk_wifi.a),armino/bk_wifi/libbk_wifi.a
100,0,100,100,0,0,0,100,`64,wifi_init.c.obj (ex armino/bk_wifi/libbk_wifi.a),armino/bk_wifi/libbk_wifi.a
62021,3655,59595,48296,11299,2426,1229,63250,`f712,armino/bk_wifi/libbk_wifi.a,armino/bk_wifi/libbk_wifi.a
405,0,405,366,39,0,0,405,`195,mac.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
1499,0,1499,1442,57,0,0,1499,`5db,mac_ie.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
2373,8,2373,1560,813,0,8,2381,`94d,dbg.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
433,4,433,296,137,0,4,437,`1b5,trace.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
300,0,300,184,116,0,0,300,`12c,dbg_assert.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
825,0,825,712,113,0,0,825,`339,co_list.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
640,4,636,358,278,4,0,640,`280,ke_event.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
340,0,340,258,82,0,0,340,`154,ke_msg.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
1019,0,1019,836,183,0,0,1019,`3fb,ke_timer.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
1411,0,1411,902,509,0,0,1411,`583,ke_task.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
58,0,58,58,0,0,0,58,`3a,ke_queue.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
1574,48,1574,1416,158,0,48,1622,`656,macif_fhost.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
14725,720,14725,13162,1563,0,720,15445,`3c55,mcc.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
19981,496,19981,17484,2497,0,496,20477,`4ffd,mm.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
3423,32,3423,3034,389,0,32,3455,`d7f,mm_bcn.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
10246,2,10246,7492,2754,0,2,10248,`2808,mm_task.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
975,8,975,742,233,0,8,983,`3d7,mm_timer.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
3229,33,3229,3032,197,0,33,3262,`cbe,ps.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
4791,2696,4791,4146,645,0,2696,7487,`1d3f,vif_mgmt.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
2058,197,2058,1794,264,0,197,2255,`8cf,td.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
2434,12,2434,2166,268,0,12,2446,`98e,sta_mgmt.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
2291,424,2291,2098,193,0,424,2715,`a9b,txl_frame.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
6570,3788,6570,5846,724,0,3788,10358,`2876,txl_agg.c.obj (ex /home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a),/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
